StudentID,Gender,StudyHours,PreviousScores,Participation,Performance
1,Male,6,78,High,Pass
2,Female,1,41,Low,Fail
3,Male,9,77,Low,Pass
4,Male,1,78,Low,Fail
5,Male,5,65,High,Pass
6,Female,4,85,Low,Pass
7,Male,3,97,High,Pass
8,Male,6,89,Medium,Pass
9,Male,2,54,Medium,Fail
10,Female,3,73,Low,Fail
11,Male,5,81,Low,Pass
12,Male,9,94,Medium,Pass
13,Male,2,83,High,Pass
14,Male,10,88,Medium,Pass
15,Female,8,79,Medium,Pass
16,Male,2,50,Low,Fail
17,Female,5,100,High,Pass
18,Female,7,42,High,Pass
19,Female,8,98,Low,Pass
20,Male,1,45,High,Fail
21,Female,6,48,Medium,Pass
22,Male,1,45,Medium,Fail
23,Female,2,48,High,Fail
24,Female,1,78,High,Pass
25,Female,5,70,Medium,Pass
26,Female,10,71,Low,Pass
27,Female,9,80,Medium,Pass
28,Female,6,89,High,Pass
29,Female,1,51,Low,Fail
30,Female,1,47,Medium,Fail
31,Male,2,47,Medium,Fail
32,Male,9,89,Medium,Pass
33,Female,3,67,Medium,Fail
34,Female,1,59,High,Fail
35,Female,5,86,Low,Pass
36,Male,7,98,Low,Pass
37,Female,6,46,Low,Fail
38,Male,1,50,High,Fail
39,Male,5,59,Medium,Pass
40,Male,5,55,Low,Fail
41,Male,6,43,High,Pass
42,Male,3,45,High,Fail
43,Female,5,97,High,Pass
44,Female,7,61,High,Pass
45,Female,5,65,Low,Pass
46,Female,5,42,High,Fail
47,Female,5,80,Medium,Pass
48,Male,10,99,High,Pass
49,Female,10,81,High,Pass
50,Female,3,53,High,Fail
51,Male,1,50,Medium,Fail
52,Female,5,57,Low,Fail
53,Male,9,93,Medium,Pass
54,Female,1,51,High,Fail
55,Male,3,62,High,Pass
56,Female,4,51,Low,Fail
57,Female,1,52,Low,Fail
58,Male,1,64,Low,Fail
59,Male,8,84,High,Pass
60,Male,2,90,High,Pass
61,Male,8,97,Low,Pass
62,Male,7,58,Medium,Pass
63,Male,10,94,High,Pass
64,Male,10,85,High,Pass
65,Male,2,75,Medium,Pass
66,Female,6,84,Medium,Pass
67,Female,6,47,Medium,Pass
68,Male,3,68,Low,Fail
69,Female,2,94,Medium,Pass
70,Female,1,92,Medium,Pass
71,Female,6,94,High,Pass
72,Female,5,71,Medium,Pass
73,Male,9,90,High,Pass
74,Female,1,83,Low,Fail
75,Male,7,57,Medium,Pass
76,Female,5,45,Low,Fail
77,Female,5,57,Low,Fail
78,Female,2,58,High,Fail
79,Male,3,61,High,Pass
80,Female,7,76,Low,Pass
81,Male,6,71,Medium,Pass
82,Female,2,95,High,Pass
83,Male,6,80,Low,Pass
84,Female,2,98,Medium,Pass
85,Male,2,42,High,Fail
86,Male,2,67,Medium,Fail
87,Female,3,49,Low,Fail
88,Male,2,90,Medium,Pass
89,Female,4,74,High,Pass
90,Female,9,100,Medium,Pass
91,Female,6,68,Low,Pass
92,Female,1,93,High,Pass
93,Female,8,54,Low,Pass
94,Female,7,72,High,Pass
95,Female,10,46,Low,Pass
96,Female,3,51,High,Fail
97,Female,1,88,Medium,Pass
98,Female,5,69,Medium,Pass
99,Female,4,60,Low,Fail
100,Male,10,70,Medium,Pass
101,Male,8,97,High,Pass
102,Female,1,100,High,Pass
103,Female,10,63,Medium,Pass
104,Female,1,59,Medium,Fail
105,Female,4,76,High,Pass
106,Female,8,43,High,Pass
107,Female,5,67,Medium,Pass
108,Female,2,83,Medium,Pass
109,Female,6,59,Medium,Pass
110,Male,5,99,Medium,Pass
111,Female,2,63,Low,Fail
112,Male,3,89,Medium,Pass
113,Female,9,88,Medium,Pass
114,Female,7,90,High,Pass
115,Male,7,71,Low,Pass
116,Female,6,80,Medium,Pass
117,Male,8,75,Medium,Pass
118,Female,4,97,Medium,Pass
119,Female,8,92,Low,Pass
120,Male,4,73,Medium,Pass
121,Female,8,75,Medium,Pass
122,Male,9,41,Medium,Pass
123,Female,3,54,Medium,Fail
124,Male,3,73,Medium,Pass
125,Male,2,75,High,Pass
126,Female,10,45,Low,Pass
127,Female,3,78,High,Pass
128,Male,3,81,Medium,Pass
129,Female,5,90,Low,Pass
130,Female,5,90,Low,Pass
131,Female,2,97,Medium,Pass
132,Male,10,93,High,Pass
133,Male,6,100,High,Pass
134,Male,5,51,High,Pass
135,Male,6,42,Medium,Fail
136,Male,1,84,Medium,Pass
137,Male,5,57,Low,Fail
138,Male,9,79,Medium,Pass
139,Male,10,60,Medium,Pass
140,Male,2,54,Low,Fail
141,Female,1,72,Low,Fail
142,Male,10,74,Medium,Pass
143,Female,9,65,High,Pass
144,Female,10,47,High,Pass
145,Female,9,75,High,Pass
146,Male,9,87,Medium,Pass
147,Male,6,69,Medium,Pass
148,Male,8,62,Medium,Pass
149,Male,1,81,High,Pass
150,Female,10,83,Low,Pass
151,Male,4,53,Medium,Fail
152,Male,1,53,High,Fail
153,Male,8,41,Medium,Pass
154,Male,1,94,Medium,Pass
155,Male,3,76,Medium,Pass
156,Female,4,44,Low,Fail
157,Male,8,77,Medium,Pass
158,Female,6,84,Medium,Pass
159,Male,10,80,Low,Pass
160,Female,7,93,Low,Pass
161,Male,8,99,High,Pass
162,Male,2,100,Low,Pass
163,Female,10,86,Medium,Pass
164,Female,8,53,Low,Pass
165,Female,3,95,High,Pass
166,Male,7,78,Low,Pass
167,Female,3,64,Medium,Fail
168,Male,7,59,High,Pass
169,Male,2,41,High,Fail
170,Female,10,78,Low,Pass
171,Female,6,45,High,Pass
172,Male,3,56,Medium,Fail
173,Male,3,98,Medium,Pass
174,Female,9,64,Low,Pass
175,Female,7,96,Low,Pass
176,Female,5,67,High,Pass
177,Male,10,41,Medium,Pass
178,Male,7,74,Medium,Pass
179,Male,9,76,High,Pass
180,Male,1,44,High,Fail
181,Male,7,40,Low,Fail
182,Male,6,79,Medium,Pass
183,Female,10,51,Low,Pass
184,Male,9,95,High,Pass
185,Male,1,75,Medium,Fail
186,Male,4,84,High,Pass
187,Female,9,62,Low,Pass
188,Male,4,86,Low,Pass
189,Male,10,70,Low,Pass
190,Female,3,50,Low,Fail
191,Male,9,49,Low,Pass
192,Male,2,42,High,Fail
193,Male,4,93,Low,Pass
194,Male,6,53,Low,Fail
195,Male,2,55,High,Fail
196,Female,8,49,Medium,Pass
197,Female,8,68,High,Pass
198,Female,1,49,Low,Fail
199,Male,3,51,Medium,Fail
200,Male,10,69,Low,Pass
201,Male,9,80,Low,Pass
202,Female,5,40,High,Fail
203,Male,6,44,Low,Fail
204,Male,4,59,Medium,Fail
205,Female,10,47,Medium,Pass
206,Male,2,82,Medium,Pass
207,Female,8,51,High,Pass
208,Female,6,40,Low,Fail
209,Female,5,96,Medium,Pass
210,Male,9,93,High,Pass
211,Male,1,59,Medium,Fail
212,Male,5,67,High,Pass
213,Male,6,96,Low,Pass
214,Male,5,82,Medium,Pass
215,Male,6,76,Low,Pass
216,Male,6,86,High,Pass
217,Female,7,76,High,Pass
218,Male,4,51,Low,Fail
219,Female,8,76,Medium,Pass
220,Male,7,88,Low,Pass
221,Male,9,88,Medium,Pass
222,Male,7,95,Medium,Pass
223,Female,3,83,High,Pass
224,Female,3,95,Medium,Pass
225,Female,8,67,Medium,Pass
226,Female,5,86,Low,Pass
227,Male,4,54,Low,Fail
228,Female,8,45,Low,Pass
229,Male,6,83,Low,Pass
230,Male,2,98,High,Pass
231,Female,4,100,Medium,Pass
232,Female,4,59,Medium,Fail
233,Female,6,89,Low,Pass
234,Female,6,53,High,Pass
235,Female,1,41,High,Fail
236,Female,8,48,Low,Pass
237,Female,6,76,High,Pass
238,Female,3,59,Medium,Fail
239,Male,9,65,Low,Pass
240,Female,2,68,Medium,Fail
241,Female,8,40,Medium,Pass
242,Male,10,94,Low,Pass
243,Female,3,74,High,Pass
244,Male,5,45,High,Pass
245,Male,6,76,Medium,Pass
246,Female,10,92,Medium,Pass
247,Male,6,98,Medium,Pass
248,Male,4,44,Medium,Fail
249,Male,3,72,Medium,Pass
250,Male,4,88,Low,Pass
251,Female,1,90,Medium,Pass
252,Male,4,53,High,Pass
253,Female,1,51,Medium,Fail
254,Male,1,81,Low,Fail
255,Male,10,59,High,Pass
256,Male,6,92,Low,Pass
257,Male,5,89,Low,Pass
258,Female,4,63,Low,Fail
259,Female,3,98,Medium,Pass
260,Male,1,82,High,Pass
261,Male,6,73,Medium,Pass
262,Female,2,64,Low,Fail
263,Male,8,89,High,Pass
264,Male,10,68,High,Pass
265,Male,5,96,High,Pass
266,Female,7,78,Low,Pass
267,Female,10,70,Medium,Pass
268,Female,2,95,High,Pass
269,Male,8,86,High,Pass
270,Male,2,82,Low,Fail
271,Female,4,89,Low,Pass
272,Female,1,62,Medium,Fail
273,Female,5,83,High,Pass
274,Female,9,77,Medium,Pass
275,Male,1,59,Medium,Fail
276,Female,9,62,Low,Pass
277,Male,8,84,Medium,Pass
278,Female,6,91,High,Pass
279,Male,7,55,Medium,Pass
280,Female,3,89,High,Pass
281,Female,1,81,High,Pass
282,Female,5,99,Low,Pass
283,Female,2,94,Medium,Pass
284,Male,5,47,Low,Fail
285,Female,8,89,High,Pass
286,Male,9,60,Medium,Pass
287,Male,2,40,Medium,Fail
288,Male,3,94,High,Pass
289,Male,3,47,Medium,Fail
290,Female,1,68,High,Fail
291,Male,8,71,Medium,Pass
292,Male,6,77,Low,Pass
293,Male,8,44,Medium,Pass
294,Female,9,86,High,Pass
295,Female,5,61,Medium,Pass
296,Female,3,86,High,Pass
297,Female,5,73,High,Pass
298,Male,5,40,Low,Fail
299,Male,5,94,High,Pass
300,Female,3,94,Low,Pass
301,Male,10,65,Low,Pass
302,Male,4,82,Low,Pass
303,Male,9,49,High,Pass
304,Female,10,69,Medium,Pass
305,Female,9,89,Low,Pass
306,Male,2,57,Medium,Fail
307,Female,8,56,Medium,Pass
308,Female,8,65,Low,Pass
309,Female,7,47,High,Pass
310,Female,8,86,High,Pass
311,Female,3,79,Medium,Pass
312,Male,6,88,High,Pass
313,Female,1,51,Medium,Fail
314,Male,7,66,High,Pass
